"Date","Entries"
2014-11-04,113463
2014-11-05,119272
2014-11-06,112767
2014-11-07,111674
2014-11-08,129221
2014-11-09,104882
2014-11-10,101909
2014-11-11,109401
2014-11-12,115315
2014-11-13,112788
2014-11-14,125184
2014-11-15,129869
2014-11-16,97296
2014-11-17,106343
2014-11-18,104713
2014-11-19,108334
2014-11-20,114978
2014-11-21,115332
2014-11-22,124594
2014-11-23,103600
2014-11-24,103533
2014-11-25,113123
2014-11-26,116422
2014-11-27,126575
2014-11-28,127598
2014-11-29,142014
2014-11-30,112139
2014-12-01,109459
2014-12-02,114960
2014-12-03,115383
2014-12-04,119546
2014-12-05,114461
2014-12-06,110878
2014-12-07,98124
2014-12-08,101272
2014-12-09,98496
2014-12-10,108229
2014-12-11,116462
2014-12-12,119990
2014-12-13,133959
2014-12-14,112873
2014-12-15,109493
2014-12-16,119493
2014-12-17,121506
2014-12-18,126051
2014-12-19,128187
2014-12-20,133013
2014-12-21,119007
2014-12-22,113862
2014-12-23,112704
2014-12-24,105737
2014-12-25,75579
2014-12-26,77936
2014-12-27,83794
2014-12-28,76819
2014-12-29,85157
2014-12-30,85649
2014-12-31,77983
2015-01-01,63652
2015-01-02,69847
2015-01-03,81270
2015-01-04,78579
2015-01-05,87271
2015-01-06,87908
2015-01-07,82109
2015-01-08,84168
2015-01-09,88937
2015-01-10,105905
2015-01-11,85436
2015-01-12,90099
2015-01-13,97088
2015-01-14,101682
2015-01-15,109001
2015-01-16,108106
2015-01-17,126404
2015-01-18,104061
2015-01-19,101638
2015-01-20,106581
2015-01-21,109392
2015-01-22,112802
2015-01-23,109840
2015-01-24,114577
2015-01-25,92991
2015-01-26,91949
2015-01-27,99551
2015-01-28,101840
2015-01-29,107240
2015-01-30,106860
2015-01-31,118304
2015-02-01,98002
2015-02-02,93314
2015-02-03,101697
2015-02-04,103469
2015-02-05,108377
2015-02-06,108543
2015-02-07,119500
2015-02-08,98745
2015-02-09,98215
2015-02-10,102024
2015-02-11,103278
2015-02-12,104895
2015-02-13,105114
2015-02-14,118164
2015-02-15,91273
2015-02-16,91029
2015-02-17,95668
2015-02-18,98878
2015-02-19,90992
2015-02-20,86863
2015-02-21,97661
2015-02-22,87000
2015-02-23,89180
2015-02-24,99599
2015-02-25,99186
2015-02-26,103779
2015-02-27,106705
2015-02-28,126841
2015-03-01,116141
2015-03-02,104078
2015-03-03,104309
2015-03-04,107941
2015-03-05,110461
2015-03-06,107207
2015-03-07,115867
2015-03-08,101605
2015-03-09,96315
2015-03-10,101968
2015-03-11,105224
2015-03-12,110267
2015-03-13,107969
2015-03-14,122185
2015-03-15,101324
2015-03-16,105171
2015-03-17,108114
2015-03-18,106949
2015-03-19,112008
2015-03-20,109708
2015-03-21,123335
2015-03-22,99867
2015-03-23,90621
2015-03-24,100790
2015-03-25,107250
2015-03-26,109351
2015-03-27,106178
2015-03-28,110647
2015-03-29,73683
2015-03-30,86435
2015-03-31,86792
2015-04-01,95687
2015-04-02,96507
2015-04-03,79630
2015-04-04,81328
2015-04-05,60082
2015-04-06,72031
2015-04-07,81203
2015-04-08,95037
2015-04-09,106360
2015-04-10,111385
2015-04-11,124809
2015-04-12,94448
2015-04-13,101672
2015-04-14,110154
2015-04-15,113243
2015-04-16,122576
2015-04-17,131107
2015-04-18,137419
2015-04-19,113501
2015-04-20,97472
2015-04-21,100898
2015-04-22,102454
2015-04-23,106693
2015-04-24,105623
2015-04-25,104089
2015-04-26,99776
2015-04-27,106446
2015-04-28,123954
2015-04-29,107160
2015-04-30,109762
2015-05-01,77500
2015-05-02,95586
2015-05-03,92099
2015-05-04,95769
2015-05-05,99509
2015-05-06,102686
2015-05-07,107614
2015-05-08,110970
2015-05-09,123062
2015-05-10,102307
2015-05-11,95897
2015-05-12,102196
2015-05-13,100839
2015-05-14,107680
2015-05-15,111815
2015-05-16,119681
2015-05-17,95726
2015-05-18,91312
2015-05-19,97772
2015-05-20,106256
2015-05-21,115228
2015-05-22,113864
2015-05-23,125483
2015-05-24,109363
2015-05-25,96572
2015-05-26,109019
2015-05-27,111751
2015-05-28,117311
2015-05-29,101568
2015-05-30,56153
2015-05-31,69062
2015-06-01,64654
2015-06-02,79079
2015-06-03,96392
2015-06-04,107049
2015-06-05,103697
2015-06-06,94758
2015-06-07,84150
2015-06-08,93144
2015-06-09,102957
2015-06-10,106734
2015-06-11,108400
2015-06-12,105742
2015-06-13,112944
2015-06-14,90542
2015-06-15,95363
2015-06-16,105972
2015-06-17,102083
2015-06-18,105656
2015-06-19,101377
2015-06-20,103833
2015-06-21,91589
2015-06-22,98490
2015-06-23,101030
2015-06-24,104121
2015-06-25,102108
2015-06-26,94779
2015-06-27,93066
2015-06-28,78899
2015-06-29,89065
2015-06-30,94527
2015-07-01,95301
2015-07-02,99817
2015-07-03,91030
2015-07-04,88527
2015-07-05,75303
2015-07-06,94447
2015-07-07,99823
2015-07-08,104002
2015-07-09,104686
2015-07-10,93896
2015-07-11,87244
2015-07-12,73604
2015-07-13,89129
2015-07-14,95939
2015-07-15,100263
2015-07-16,103605
2015-07-17,92022
2015-07-18,81567
2015-07-19,67512
2015-07-20,88359
2015-07-21,94747
2015-07-22,93982
2015-07-23,94925
2015-07-24,85519
2015-07-25,76470
2015-07-26,62876
2015-07-27,75812
2015-07-28,80864
2015-07-29,85488
2015-07-30,89497
2015-07-31,82064
2015-08-01,82779
2015-08-02,62381
2015-08-03,63713
2015-08-04,66243
2015-08-05,65178
2015-08-06,63160
2015-08-07,57255
2015-08-08,53303
2015-08-09,42597
2015-08-10,49442
2015-08-11,45255
2015-08-12,43382
2015-08-13,43161
2015-08-14,43437
2015-08-15,42031
2015-08-16,38866
2015-08-17,35820
2015-08-18,37679
2015-08-19,39076
2015-08-20,38889
2015-08-21,38084
2015-08-22,46244
2015-08-23,46061
2015-08-24,50720
2015-08-25,55089
2015-08-26,55460
2015-08-27,58166
2015-08-28,58309
2015-08-29,67917
2015-08-30,65075
2015-08-31,71368
2015-09-01,82942
2015-09-02,87499
2015-09-03,97044
2015-09-04,90405
2015-09-05,95423
2015-09-06,81304
2015-09-07,79382
2015-09-08,86146
2015-09-09,91738
2015-09-10,101669
2015-09-11,100093
2015-09-12,105401
2015-09-13,94640
2015-09-14,98745
2015-09-15,101240
2015-09-16,108144
2015-09-17,108659
2015-09-18,105282
2015-09-19,111685
2015-09-20,95108
2015-09-21,97031
2015-09-22,112210
2015-09-23,119015
2015-09-24,116246
2015-09-25,114395
2015-09-26,122772
2015-09-27,101292
2015-09-28,101756
2015-09-29,104450
2015-09-30,105224
2015-10-01,110145
2015-10-02,114080
2015-10-03,127332
2015-10-04,98817
